year,OdName,CODE,number,AreaName,RegName,DevName
1980,Greece,GRC,4280,Europe,Southern Europe,Developed regions
1980,Greenland,GRL,0,Northern America,Northern America,Developed regions
1980,Grenada,GRD,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Guadeloupe,GLP,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Guam,GUM,10,Oceania,Micronesia,Developing regions
1980,Guatemala,GTM,20,Latin America and the Caribbean,Central America,Developing regions
1980,Guinea,GIN,0,Africa,Western Africa,Developing regions
1980,Guinea-Bissau,GNB,0,Africa,Western Africa,Developing regions
1980,Guyana,GUY,10,Latin America and the Caribbean,South America,Developing regions
1980,Haiti,HTI,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Holy See,VAT,0,Europe,Southern Europe,Developed regions
1980,Honduras,HND,0,Latin America and the Caribbean,Central America,Developing regions
1980,Hungary,HUN,100,Europe,Eastern Europe,Developed regions
1980,Iceland,ISL,50,Europe,Northern Europe,Developed regions
1980,India,IND,1220,Asia,Southern Asia,Developing regions
1980,Indonesia,IDN,5990,Asia,South-Eastern Asia,Developing regions
1980,United Kingdom,IRN,320,Asia,Southern Asia,Developing regions
1980,Iraq,IRQ,140,Asia,Western Asia,Developing regions
1980,Ireland,IRL,950,Europe,Northern Europe,Developed regions
1980,Israel,ISR,960,Asia,Western Asia,Developing regions
1980,Italy,ITA,4210,Europe,Southern Europe,Developed regions
1980,Jamaica,JAM,40,Latin America and the Caribbean,Caribbean,Developing regions
1980,Japan,JPN,2240,Asia,Eastern Asia,Developed regions
1980,Jordan,JOR,40,Asia,Western Asia,Developing regions
1980,Kazakhstan,KAZ,0,Asia,Central Asia,Developing regions
1980,Kenya,KEN,190,Africa,Eastern Africa,Developing regions
1980,Kiribati,KIR,0,Oceania,Micronesia,Developing regions
1980,Kuwait,KWT,60,Asia,Western Asia,Developing regions
1980,Kyrgyzstan,KGZ,0,Asia,Central Asia,Developing regions
1980,Lao People's Democratic Republic,LAO,10,Asia,South-Eastern Asia,Developing regions
1980,Latvia,LVA,0,Europe,Northern Europe,Developed regions
1980,Lebanon,LBN,1240,Asia,Western Asia,Developing regions
1980,Lesotho,LSO,10,Africa,Southern Africa,Developing regions
1980,Liberia,LBR,0,Africa,Western Africa,Developing regions
1980,Libya,LBY,70,Africa,Northern Africa,Developing regions
1980,Liechtenstein,LIE,0,Europe,Western Europe,Developed regions
1980,Lithuania,LTU,0,Europe,Northern Europe,Developed regions
1980,Luxembourg,LUX,10,Europe,Western Europe,Developed regions
1980,Madagascar,MDG,0,Africa,Eastern Africa,Developing regions
1980,Malawi,MWI,20,Africa,Eastern Africa,Developing regions
1980,Malaysia,MYS,12390,Asia,South-Eastern Asia,Developing regions
1980,Maldives,MDV,0,Asia,Southern Asia,Developing regions
1980,Mali,MLI,0,Africa,Western Africa,Developing regions
1980,Malta,MLT,1220,Europe,Southern Europe,Developed regions
1980,Marshall Islands,MHL,0,Oceania,Micronesia,Developing regions
1980,Martinique,MTQ,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Mauritania,MRT,0,Africa,Western Africa,Developing regions
1980,Mauritius,MUS,270,Africa,Eastern Africa,Developing regions
1980,Mayotte,MYT ,0,Africa,Eastern Africa,Developing regions
1980,Mexico,MEX,70,Latin America and the Caribbean,Central America,Developing regions
1980,Micronesia (Federated States of),FSM,0,Oceania,Micronesia,Developing regions
1980,Monaco,MCO,0,Europe,Western Europe,Developed regions
1980,Mongolia,MNG,0,Asia,Eastern Asia,Developing regions
1980,Montserrat,MSR,0,Latin America and the Caribbean,Caribbean,Developing regions
1980,Morocco,MAR,20,Africa,Northern Africa,Developing regions
1980,Mozambique,MOZ,10,Africa,Eastern Africa,Developing regions
1980,Myanmar,MMR,110,Asia,South-Eastern Asia,Developing regions
1980,Namibia,NAM,0,Africa,Southern Africa,Developing regions
1980,Nauru,NRU,110,Oceania,Micronesia,Developing regions
1980,Nepal,NPL,50,Asia,Southern Asia,Developing regions
1980,Netherlands,NLD,2700,Europe,Western Europe,Developed regions
1980,New Caledonia,NCL,160,Oceania,Melanesia,Developing regions
1980,New Zealand,NZL,34370,Oceania,Australia and New Zealand,Developed regions
1980,Nicaragua,NIC,0,Latin America and the Caribbean,Central America,Developing regions
1980,Niger,NER,10,Africa,Western Africa,Developing regions
1980,Nigeria,NGA,150,Africa,Western Africa,Developing regions
1980,Niue,NIU,0,Oceania,Polynesia,Developing regions
1980,Northern Mariana Islands,MNP,0,Oceania,Micronesia,Developing regions
1980,Norway,NOR,170,Europe,Northern Europe,Developed regions
